tree,lod,nvertices,nfaces
abies,0,169,334
abies,1,462,920
abies,2,2820,5648
abies,3,17690,35592
acer,0,165,326
acer,1,758,1516
acer,2,5149,10622
acer,3,16495,33606
aesculus,0,139,274
aesculus,1,536,1068
aesculus,2,3042,6084
aesculus,3,14317,28782
catalpa,0,204,404
catalpa,1,475,946
catalpa,2,2256,4508
catalpa,3,9938,19940
cedrus,0,126,248
cedrus,1,489,974
cedrus,2,3329,6702
cedrus,3,13662,27564
ginkgo,0,168,332
ginkgo,1,566,1128
ginkgo,2,3686,7488
gingko,3,18543,38258
gleditsia,0,116,228
gleditsia,1,518,1032
gleditsia,2,3675,7506
gleditsia,3,14155,28866
liquidambar,0,108,212
liquidambar,1,431,858
liquidambar,2,2591,5210
liquidambar,3,12417,25146
magnolia,0,117,230
magnolia,1,448,892
magnolia,2,3872,7820
magnolia,3,20223,41150
platanus,0,145,286
platanus,1,577,1150
platanus,2,3504,7148
platanus,3,15053,30670
quercus,0,139,274
quercus,1,506,1008
quercus,2,4306,8748
quercus,3,19603,40426
taxus,0,187,370
taxus,1,401,798
taxus,2,1824,3644
taxus,3,7913,15826
tilia,0,166,328
tilia,1,553,1102
tilia,2,4024,8104
tilia,3,22852,46112
