area,lod,ntree,nevertices,nfaces,time
153.722,0,12,1897,3774,0.107834
153.722,1,12,7380,14728,0.224918
153.722,2,12,53552,109052,1.85774
153.722,3,12,218184,445832,7.65576
384.087,0,71,10746,21364,0.987131
384.087,1,71,43088,86048,4.12905
384.087,2,71,331397,674414,42.6294
384.087,3,71,1332376,2718072,222.92
626.172,0,254,37926,75320,9.59031
626.172,1,254,147203,293734,43.1633
626.172,2,254,1042004,2117680,478.723
626.172,3,254,4429590,9032940,2635.11
808.419,0,513,76651,152338,37.1433
808.419,1,513,298646,596188,183.323
808.419,2,513,2150215,4366262,2089.5
808.419,3,513,9141293,18592898,11207.2
